File name,Package name,File size,Package size,File size in package (%),File size in system (%)
etc/passwd,skeleton-init-common,340,16190,2.1,0.0
lib/modules/4.19.16/kernel/drivers/video/backlight/lcd.ko,linux,9008,742187,1.2,0.1
etc/ssl/ct_log_list.cnf,libopenssl,412,2392929,0.0,0.0
etc/nsswitch.conf,toolchain,230,230,100.0,0.0
bin/busybox,busybox,777168,784699,99.0,7.3
lib/modules/4.19.16/kernel/drivers/i2c/i2c-dev.ko,linux,11424,742187,1.5,0.1
etc/ssh/moduli,openssh,577388,4055104,14.2,5.4
lib/modules/4.19.16/kernel/fs/fat/fat.ko,linux,75608,742187,10.2,0.7
THIS_IS_NOT_YOUR_ROOT_FILESYSTEM,skeleton-init-common,1336,16190,8.3,0.0
lib/libc-2.30.so,glibc,1278680,2372644,53.9,12.1
etc/profile.d/umask.sh,skeleton-init-common,10,16190,0.1,0.0
usr/bin/ssh,openssh,603872,4055104,14.9,5.7
lib/libnss_dns-2.30.so,glibc,17800,2372644,0.8,0.2
usr/libexec/ssh-pkcs11-helper,openssh,267680,4055104,6.6,2.5
lib/modules/4.19.16/modules.devname,linux,80,742187,0.0,0.0
usr/bin/ssh-keygen,openssh,370192,4055104,9.1,3.5
usr/bin/scp,openssh,87488,4055104,2.2,0.8
lib/modules/4.19.16/modules.builtin,linux,2899,742187,0.4,0.0
etc/network/nfs_check,ifupdown-scripts,846,2042,41.4,0.0
lib/modules/4.19.16/kernel/drivers/tty/serial/8250/8250_base.ko,linux,32676,742187,4.4,0.3
lib/modules/4.19.16/kernel/crypto/echainiv.ko,linux,5564,742187,0.7,0.1
etc/ssl/openssl.cnf,libopenssl,10909,2392929,0.5,0.1
lib/modules/4.19.16/kernel/sound/core/snd-timer.ko,linux,28864,742187,3.9,0.3
usr/sbin/sshd,openssh,636764,4055104,15.7,6.0
lib/modules/4.19.16/modules.alias,linux,22875,742187,3.1,0.2
lib/modules/4.19.16/kernel/crypto/drbg.ko,linux,14244,742187,1.9,0.1
usr/bin/ssh-keyscan,openssh,353800,4055104,8.7,3.3
lib/modules/4.19.16/kernel/crypto/hmac.ko,linux,6856,742187,0.9,0.1
etc/init.d/S50sshd,openssh,532,4055104,0.0,0.0
lib/modules/4.19.16/kernel/crypto/sha256_generic.ko,linux,14140,742187,1.9,0.1
usr/libexec/ssh-keysign,openssh,361984,4055104,8.9,3.4
etc/group,skeleton-init-common,307,16190,1.9,0.0
lib/modules/4.19.16/kernel/fs/nls/nls_base.ko,linux,9680,742187,1.3,0.1
etc/protocols,skeleton-init-common,2744,16190,16.9,0.0
lib/libatomic.so.1.2.0,toolchain-buildroot,29948,162756,18.4,0.3
lib/modules/4.19.16/kernel/sound/core/snd-pcm.ko,linux,98352,742187,13.3,0.9
lib/modules/4.19.16/kernel/drivers/tty/serial/8250/8250_exar.ko,linux,11920,742187,1.6,0.1
etc/shadow,skeleton-init-common,191,16190,1.2,0.0
etc/network/if-pre-up.d/wait_iface,ifupdown-scripts,576,2042,28.2,0.0
etc/init.d/S02klogd,busybox,1004,784699,0.1,0.0
lib/modules/4.19.16/modules.dep.bin,linux,2068,742187,0.3,0.0
etc/network/interfaces,ifupdown-scripts,182,2042,8.9,0.0
etc/init.d/S02sysctl,busybox,1876,784699,0.2,0.0
lib/modules/4.19.16/kernel/drivers/tty/serial/8250/8250_pci.ko,linux,69592,742187,9.4,0.7
lib/modules/4.19.16/modules.builtin.bin,linux,4341,742187,0.6,0.0
etc/ssh/sshd_config,openssh,3162,4055104,0.1,0.0
usr/bin/ssh-agent,openssh,271788,4055104,6.7,2.6
lib/modules/4.19.16/kernel/sound/core/snd.ko,linux,65324,742187,8.8,0.6
usr/lib/libssl.so.1.1,libopenssl,419992,2392929,17.6,4.0
lib/modules/4.19.16/kernel/sound/pci/ac97/snd-ac97-codec.ko,linux,134404,742187,18.1,1.3
lib/modules/4.19.16/modules.symbols,linux,9868,742187,1.3,0.1
lib/modules/4.19.16/kernel/sound/ac97_bus.ko,linux,4644,742187,0.6,0.0
usr/lib/libcrypto.so.1.1,libopenssl,1943720,2392929,81.2,18.3
lib/libgcc_s.so.1,toolchain-buildroot,132676,162756,81.5,1.3
lib/modules/4.19.16/modules.dep,linux,1310,742187,0.2,0.0
etc/init.d/S40network,ifupdown-scripts,438,2042,21.4,0.0
usr/share/udhcpc/default.script,busybox,2399,784699,0.3,0.0
lib/libanl-2.30.so,glibc,9748,2372644,0.4,0.1
lib/modules/4.19.16/kernel/drivers/char/hw_random/rng-core.ko,linux,14188,742187,1.9,0.1
etc/ssl/openssl.cnf.dist,libopenssl,10909,2392929,0.5,0.1
usr/bin/ssh-copy-id,openssh,10658,4055104,0.3,0.1
lib/libresolv-2.30.so,glibc,71304,2372644,3.0,0.7
etc/ssh/ssh_config,openssh,1484,4055104,0.0,0.0
lib/modules/4.19.16/kernel/drivers/tty/serial/8250/8250.ko,linux,17428,742187,2.3,0.2
lib/modules/4.19.16/modules.order,linux,665,742187,0.1,0.0
lib/libdl-2.30.so,glibc,9592,2372644,0.4,0.1
etc/init.d/S01syslogd,busybox,1012,784699,0.1,0.0
lib/modules/4.19.16/modules.softdep,linux,55,742187,0.0,0.0
lib/libm-2.30.so,glibc,583004,2372644,24.6,5.5
lib/libpthread-2.30.so,glibc,138544,2372644,5.8,1.3
lib/modules/4.19.16/kernel/sound/arm/snd-aaci.ko,linux,13680,742187,1.8,0.1
lib/librt-2.30.so,glibc,26420,2372644,1.1,0.2
etc/profile,skeleton-init-common,347,16190,2.1,0.0
etc/init.d/S20urandom,initscripts,1684,2515,67.0,0.0
etc/ssl/ct_log_list.cnf.dist,libopenssl,412,2392929,0.0,0.0
usr/libexec/sftp-server,openssh,95696,4055104,2.4,0.9
lib/modules/4.19.16/kernel/crypto/jitterentropy_rng.ko,linux,11312,742187,1.5,0.1
lib/libnss_files-2.30.so,glibc,38356,2372644,1.6,0.4
usr/bin/ssh-add,openssh,284068,4055104,7.0,2.7
usr/bin/sftp,openssh,128548,4055104,3.2,1.2
lib/modules/4.19.16/modules.symbols.bin,linux,11390,742187,1.5,0.1
usr/lib/libz.so.1.2.11,libzlib,75256,75256,100.0,0.7
etc/inittab,busybox,1240,784699,0.2,0.0
etc/fstab,skeleton-init-sysv,334,334,100.0,0.0
lib/libcrypt-2.30.so,glibc,30076,2372644,1.3,0.3
etc/ssl/misc/tsget.pl,libopenssl,6575,2392929,0.3,0.1
etc/hosts,skeleton-init-common,42,16190,0.3,0.0
lib/modules/4.19.16/modules.alias.bin,linux,20628,742187,2.8,0.2
etc/init.d/rcK,initscripts,423,2515,16.8,0.0
etc/services,skeleton-init-common,10873,16190,67.2,0.1
etc/init.d/rcS,initscripts,408,2515,16.2,0.0
lib/libgcc_s.so,toolchain-buildroot,132,162756,0.1,0.0
lib/libutil-2.30.so,glibc,9620,2372644,0.4,0.1
lib/ld-2.30.so,glibc,159500,2372644,6.7,1.5
lib/modules/4.19.16/kernel/fs/fat/vfat.ko,linux,17100,742187,2.3,0.2
